Country,Region,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2022
Myanmar,Southeast Asia,"1,06,11,07,353.7","1,03,82,25,167.1","1,47,89,08,160.2","2,11,51,93,503.5","5,28,91,74,927.1","8,90,50,66,163.6","11,98,69,72,418.5","49,54,08,13,342.5","59,68,74,11,768.8","79,04,56,95,084.5","62,26,34,66,263.7"
Vietnam,Southeast Asia,,,"14,09,46,87,820.7","6,47,17,40,805.6","20,73,61,64,459.0","31,17,25,18,403.3","57,63,32,55,738.2","1,47,20,11,73,197.0","2,39,25,83,28,381.7","3,46,61,57,38,537.8","4,08,80,23,78,904.8"
Cambodia,Southeast Asia,,,,,"3,44,12,05,692.9","3,65,40,31,716.4","6,29,30,46,161.8","11,24,22,75,287.6","18,04,99,54,289.5","25,87,27,97,891.8","29,50,48,29,319.3"
Brunei,Southeast Asia,"1,16,83,04,305.7","4,92,88,06,542.8","3,52,35,32,486.4","3,52,04,87,627.0","4,73,41,03,536.5","6,00,12,82,104.1","9,53,14,20,027.8","13,70,72,80,260.0","12,93,02,91,488.0","12,00,57,99,654.0","16,68,15,36,466.7"
Laos,Southeast Asia,,,"2,36,66,66,615.6","86,55,59,879.4","1,76,35,36,304.5","1,73,11,98,022.5","2,73,55,58,734.7","7,13,17,73,632.7","14,42,63,81,187.1","18,98,18,00,705.1","15,46,87,85,203.8"
Saudi Arabia,Middle East/Western Asia,"46,77,31,44,158.2","1,64,53,95,80,966.0","1,03,89,78,92,811.0","1,17,63,02,61,604.9","1,43,34,30,25,756.3","1,89,51,49,10,222.7","3,28,45,97,00,124.1","5,28,20,72,98,529.9","6,69,48,43,81,328.9","7,34,27,11,83,945.0","11,08,57,15,17,285.4"
Israel,Middle East/Western Asia,,,,,"1,04,89,29,55,202.1","1,36,03,57,71,711.7","1,47,08,39,96,033.6","2,38,36,40,92,298.0","3,03,41,42,76,832.0","4,13,26,76,69,231.5","5,25,00,24,47,652.8"
Palestine,Middle East/Western Asia,,,,,"3,28,28,00,000.0","4,31,36,00,000.0","5,12,57,00,000.0","9,68,15,00,000.0","13,97,24,00,000.0","15,53,17,00,000.0","19,11,19,00,000.0"
Jordan,Middle East/Western Asia,"1,36,30,73,497.8","3,91,00,44,474.3","4,99,36,01,520.4","4,16,00,87,507.8","6,72,75,97,032.0","8,46,07,89,844.9","12,58,89,98,589.6","27,13,38,04,225.4","38,58,70,17,887.3","43,70,03,83,098.6","48,65,33,81,780.6"
Iraq,Middle East/Western Asia,"13,45,85,16,762.6","52,56,90,00,000.0","48,42,51,61,290.3","1,80,40,80,64,516.1","12,89,40,29,888.1","48,36,42,50,943.9","49,95,48,90,353.3","1,38,51,67,22,649.6","1,66,77,41,04,959.1","1,80,92,40,91,443.0","2,64,18,21,73,793.1"
Iran,Middle East/Western Asia,"51,77,62,22,349.9","94,36,22,75,580.0","1,80,18,36,29,599.7","1,24,81,32,63,926.2","96,41,92,25,745.0","1,09,59,17,07,801.4","2,26,45,21,38,295.7","4,86,80,76,16,876.7","4,08,21,29,17,875.0","2,39,73,54,86,745.7","4,13,49,32,07,349.3"
Syria,Middle East/Western Asia,"5,56,67,56,756.8","13,06,24,20,382.2","21,20,38,21,656.1","23,90,44,98,886.4","50,86,63,69,710.5","80,59,00,22,271.7","1,34,20,38,30,735.0","2,52,51,82,18,262.8","16,46,83,99,173.0","11,15,67,57,922.0","23,62,00,00,000"
Lebanon,Middle East/Western Asia,,,,"2,83,84,85,354.0","11,71,87,95,528.6","17,26,03,64,842.5","21,49,73,36,498.8","38,44,39,07,042.1","49,92,93,37,836.8","31,71,21,28,253.8","20,99,00,00,000"
Kuwait,Middle East/Western Asia,"12,02,28,11,620.8","28,63,88,68,355.9","21,44,59,70,613.8","18,42,77,77,777.8","27,18,69,80,646.5","37,71,87,43,480.1","80,79,86,30,137.0","1,15,41,65,80,893.0","1,14,58,55,76,961.4","1,05,94,88,07,280.7","1,75,36,32,65,306.1"
Turkey,Middle East/Western Asia,"46,04,28,57,142.9","68,82,36,84,210.5","67,23,27,58,620.7","1,50,65,55,00,191.6","1,69,31,95,79,016.2","2,74,29,46,23,164.0","5,06,31,47,17,661.7","7,76,96,72,66,305.5","8,64,31,38,10,469.0","7,20,33,84,98,174.7","9,07,11,84,35,952.7"
Qatar,Middle East/Western Asia,"2,51,27,73,165.8","7,82,91,65,261.8","6,15,32,96,456.0","7,36,04,39,423.1","8,13,79,11,978.0","17,75,98,90,109.9","44,53,04,94,505.5","1,25,12,23,06,346.2","1,61,73,99,55,576.9","1,44,41,13,63,345.3","2,36,25,83,02,839.7"
Bahrain,Middle East/Western Asia,,"3,07,26,98,328.5","3,65,18,61,702.1","4,22,97,87,234.0","5,84,94,67,819.1","9,06,28,98,936.2","15,96,87,23,404.3","25,71,32,71,276.6","31,05,06,38,297.9","34,62,18,07,712.8","44,38,32,97,872.3"
United Arab Emirates,Middle East/Western Asia,"14,72,07,28,248.5","43,59,91,60,050.3","40,60,36,50,231.5","50,70,14,43,748.3","65,74,36,66,575.9","1,04,33,73,72,362.2","1,80,61,74,67,964.6","3,00,18,90,52,694.0","3,70,27,54,69,560.2","3,49,47,30,15,336.9","5,07,06,39,68,273.3"
Oman,Middle East/Western Asia,"2,09,66,99,189.3","5,98,17,60,277.9","10,00,56,45,420.5","11,68,50,45,513.7","13,80,26,00,780.2","19,50,74,52,535.8","31,08,19,91,677.5","64,99,34,98,049.4","78,71,07,93,238.0","75,90,93,97,659.3","1,14,66,73,60,208.1"
Yemen,Middle East/Western Asia,,,,"12,64,38,21,569.0","12,79,63,45,679.0","9,67,93,16,770.2","16,73,15,66,688.4","30,90,67,49,533.2","42,44,44,89,460.8","20,22,00,00,000","23,53,00,00,000"
Kazakhstan,Central Asia,,,,"26,93,20,16,269.6","20,37,43,02,652.4","18,29,19,90,662.0","57,12,36,71,733.9","1,48,04,73,48,240.6","1,84,38,84,04,706.0","1,71,08,23,65,861.4","2,25,49,63,28,925.5"
