Cambodia,Southeast Asia,,,,,"3,441,205,692.9","3,654,031,716.4","6,293,046,161.8","11,242,275,287.6","18,049,954,289.5","25,872,797,891.8","29,504,829,319.3"
Brunei,Southeast Asia,"1,168,304,305.7","4,928,806,542.8","3,523,532,486.4","3,520,487,627.0","4,734,103,536.5","6,001,282,104.1","9,531,420,027.8","13,707,280,260.0","12,930,291,488.0","12,005,799,654.0","16,681,536,466.7"
Laos,Southeast Asia,,,"2,366,666,615.6","865,559,879.4","1,763,536,304.5","1,731,198,022.5","2,735,558,734.7","7,131,773,632.7","14,426,381,187.1","18,981,800,705.1","15,468,785,203.8"
Saudi Arabia,Middle East/Western Asia,"46,773,144,158.2","164,539,580,966.0","103,897,892,811.0","117,630,261,604.9","143,343,025,756.3","189,514,910,222.7","328,459,700,124.1","528,207,298,529.9","669,484,381,328.9","734,271,183,945.0","1,108,571,517,285.4"
Israel,Middle East/Western Asia,,,,,"104,892,955,202.1","136,035,771,711.7","147,083,996,033.6","238,364,092,298.0","303,414,276,832.0","413,267,669,231.5","525,002,447,652.8"
Palestine,Middle East/Western Asia,,,,,"3,282,800,000.0","4,313,600,000.0","5,125,700,000.0","9,681,500,000.0","13,972,400,000.0","15,531,700,000.0","19,111,900,000.0"
Jordan,Middle East/Western Asia,"1,363,073,497.8","3,910,044,474.3","4,993,601,520.4","4,160,087,507.8","6,727,597,032.0","8,460,789,844.9","12,588,998,589.6","27,133,804,225.4","38,587,017,887.3","43,700,383,098.6","48,653,381,780.6"
Iraq,Middle East/Western Asia,"13,458,516,762.6","52,569,000,000.0","48,425,161,290.3","180,408,064,516.1","12,894,029,888.1","48,364,250,943.9","49,954,890,353.3","138,516,722,649.6","166,774,104,959.1","180,924,091,443.0","264,182,173,793.1"
Iran,Middle East/Western Asia,"51,776,222,349.9","94,362,275,580.0","180,183,629,599.7","124,813,263,926.2","96,419,225,745.0","109,591,707,801.4","226,452,138,295.7","486,807,616,876.7","408,212,917,875.0","239,735,486,745.7","413,493,207,349.3"
Syria,Middle East/Western Asia,"5,566,756,756.8","13,062,420,382.2","21,203,821,656.1","23,904,498,886.4","50,866,369,710.5","80,590,022,271.7","134,203,830,735.0","252,518,218,262.8","16,468,399,173.0","11,156,757,922.0","23,620,000,000"
Lebanon,Middle East/Western Asia,,,,"2,838,485,354.0","11,718,795,528.6","17,260,364,842.5","21,497,336,498.8","38,443,907,042.1","49,929,337,836.8","31,712,128,253.8","20,990,000,000"
Kuwait,Middle East/Western Asia,"12,022,811,620.8","28,638,868,355.9","21,445,970,613.8","18,427,777,777.8","27,186,980,646.5","37,718,743,480.1","80,798,630,137.0","115,416,580,893.0","114,585,576,961.4","105,948,807,280.7","175,363,265,306.1"
Turkey,Middle East/Western Asia,"46,042,857,142.9","68,823,684,210.5","67,232,758,620.7","150,655,500,191.6","169,319,579,016.2","274,294,623,164.0","506,314,717,661.7","776,967,266,305.5","864,313,810,469.0","720,338,498,174.7","907,118,435,952.7"
Qatar,Middle East/Western Asia,"2,512,773,165.8","7,829,165,261.8","6,153,296,456.0","7,360,439,423.1","8,137,911,978.0","17,759,890,109.9","44,530,494,505.5","125,122,306,346.2","161,739,955,576.9","144,411,363,345.3","236,258,302,839.7"
Bahrain,Middle East/Western Asia,,"3,072,698,328.5","3,651,861,702.1","4,229,787,234.0","5,849,467,819.1","9,062,898,936.2","15,968,723,404.3","25,713,271,276.6","31,050,638,297.9","34,621,807,712.8","44,383,297,872.3"
United Arab Emirates,Middle East/Western Asia,"14,720,728,248.5","43,599,160,050.3","40,603,650,231.5","50,701,443,748.3","65,743,666,575.9","104,337,372,362.2","180,617,467,964.6","300,189,052,694.0","370,275,469,560.2","349,473,015,336.9","507,063,968,273.3"
Oman,Middle East/Western Asia,"2,096,699,189.3","5,981,760,277.9","10,005,645,420.5","11,685,045,513.7","13,802,600,780.2","19,507,452,535.8","31,081,991,677.5","64,993,498,049.4","78,710,793,238.0","75,909,397,659.3","114,667,360,208.1"
Yemen,Middle East/Western Asia,,,,"12,643,821,569.0","12,796,345,679.0","9,679,316,770.2","16,731,566,688.4","30,906,749,533.2","42,444,489,460.8","20,220,000,000","23,530,000,000"
Kazakhstan,Central Asia,,,,"26,932,016,269.6","20,374,302,652.4","18,291,990,662.0","57,123,671,733.9","148,047,348,240.6","184,388,404,706.0","171,082,365,861.4","225,496,328,925.5"
