Brunei,Southeast Asia,,,,"3,520,487,627.00","4,734,103,536.50","6,001,282,104.10","9,531,420,027.80","13,606,804,208.80","13,580,879,053.30","12,367,589,256.50","16,311,905,528.50"
Laos,Southeast Asia,,,"2,366,666,615.60","865,559,879.40","1,757,533,989.10","1,660,408,278.90","2,669,821,125.50","6,679,604,405.80","13,784,825,969.80","17,853,650,704.90","14,311,266,175.70"
Saudi Arabia,Middle East/Western Asia,"44,738,184,077.3","160,298,494,641.90","114,560,466,444.30","122,126,269,615.60","145,533,933,644.90","190,406,923,546.70","331,174,439,513.20","535,251,208,373.30","686,764,397,253.30","748,219,525,785.00","1,119,664,708,218.70"
Israel,Middle East/Western Asia,"15,440,000,000.0","24,148,431,372.50","26,588,270,421.60","59,758,993,651.40","102,646,492,544.70","127,972,402,325.10","145,866,914,009.40","234,571,407,404.40","300,150,272,715.60","407,899,013,182.60","520,492,108,611.20"
Palestine,Middle East/Western Asia,,,,,"3,722,600,000.00","4,819,100,000.00","5,474,700,000.00","10,280,600,000.00","15,684,800,000.00","18,024,400,000.00","23,115,100,000.00"
Jordan,Middle East/Western Asia,"1,405,601,140.7","3,945,706,805.40","4,904,904,149.50","3,945,065,630.90","6,449,200,913.20","8,561,212,976.00","12,926,093,088.90","26,919,156,338.00","38,153,862,957.70","43,576,298,591.50","48,147,607,132.80"
Iraq,Middle East/Western Asia,,"54,149,000,000.00","46,129,032,258.10","177,707,096,774.20","12,890,451,788.10","48,059,388,965.90","45,427,690,353.30","140,109,922,649.60","165,257,898,273.60","179,116,938,800.30","263,235,973,793.10"
Iran,Middle East/Western Asia,"51,798,709,663.9","95,239,665,758.80","180,268,653,829.90","124,760,662,244.80","95,928,399,193.90","109,789,552,702.80","226,042,321,378.80","486,886,674,335.50","408,517,212,107.10","239,332,303,844.60","412,878,766,372.40"
Syria,Middle East/Western Asia,,,,,,"73,232,516,703.80","122,682,583,518.90","236,137,193,763.90","15,848,198,135.30","10,707,497,858.10","15,848,198,135.30"
Lebanon,Middle East/Western Asia,,,,"3,460,782,102.60","12,210,795,536.00","17,581,364,842.50","21,299,316,498.80","37,935,417,042.10","49,420,820,075.60","30,697,478,253.80","49,420,820,075.60"
Kuwait,Middle East/Western Asia,"13,174,408,685.9","33,485,389,035.00","26,110,928,236.80","26,177,777,777.80","32,067,562,858.50","44,417,966,305.00","89,654,794,520.50","124,837,146,336.30","127,279,526,145.70","122,250,083,019.50","201,953,933,142.20"
Turkey,Middle East/Western Asia,"45,873,678,452.1","67,705,123,984.20","65,679,808,950.20","148,147,844,653.10","166,117,724,942.70","270,292,744,782.20","500,944,649,716.50","770,452,478,725.40","854,629,842,511.60","711,770,498,180.50","898,545,719,155.30"
Qatar,Middle East/Western Asia,"2,402,869,298.4","8,370,160,244.80","6,721,703,104.40","7,581,428,736.30","8,375,020,302.20","16,360,439,560.40","38,814,835,164.80","112,178,571,428.60","158,174,570,961.50","141,366,857,850.80","227,969,566,575.90"
Bahrain,Middle East/Western Asia,,"2,864,420,270.60","3,281,648,936.20","4,451,329,787.20","5,790,573,404.30","8,839,275,266.00","15,556,372,074.50","23,340,257,978.70","29,314,738,297.90","32,162,765,159.60","42,420,297,872.30"
United Arab Emirates,Middle East/Western Asia,,,,,,"109,429,271,613.30","183,503,785,187.20","300,105,186,118.10","372,018,151,656.80","347,594,186,201.50","504,574,791,962.90"
Oman,Middle East/Western Asia,"1,801,389,403.6","5,724,956,861.60","9,679,931,382.90","11,379,937,581.30","13,406,047,854.40","18,670,001,300.40","30,059,885,045.50","61,422,626,788.00","76,448,114,434.30","70,601,205,201.60","106,160,208,062.40"
Yemen,Middle East/Western Asia,,,,"13,860,829,601.40","13,662,552,518.50","10,873,059,006.20","17,930,251,651.90","32,314,638,440.70","43,956,517,774.00","9,435,582,175","10,945,862,536"
Kazakhstan,Central Asia,,,,,"20,233,202,652.20","17,152,990,926.50","51,568,171,733.90","128,671,748,240.60","172,770,506,433.20","156,009,669,230.60","199,981,133,856.70"
